Commune,Commune latitude,Commune longitude,Venue,Venue latitude,Venue longitude,Venue category
Loc Tho,12.243585,109.194648,InterContinental,12.2449937,109.1960906,Hotel
Loc Tho,12.243585,109.194648,Phở Hồng Giang,12.245807,109.193815,Vietnamese Restaurant
Loc Tho,12.243585,109.194648,Alpaca homestyle cafe,12.241087,109.193258,Italian Restaurant
Loc Tho,12.243585,109.194648,Sheraton Nha Trang Hotel & Spa,12.246386650789017,109.19567495579031,Hotel
Loc Tho,12.243585,109.194648,Runam Bistro,12.244271674428992,109.19629928661404,Bistro
Loc Tho,12.243585,109.194648,Kiwami,12.24015284898065,109.19173138412832,Sushi Restaurant
Loc Tho,12.243585,109.194648,Cộng coffee,12.2382765,109.19373,Café
Loc Tho,12.243585,109.194648,Skylight Havana Nha Trang,12.24344392969219,109.1960871219635,Hotel Bar
Loc Tho,12.243585,109.194648,Coriander,12.243421344168569,109.19095162531951,Thai Restaurant
Loc Tho,12.243585,109.194648,Zima Club,12.243267475846746,109.19648465403787,Night Club
Loc Tho,12.243585,109.194648,vFruit,12.239290359164876,109.19224606741125,Juice Bar
Loc Tho,12.243585,109.194648,Yashoda Indian restaurant,12.237028456967739,109.19392794370651,Indian Restaurant
Loc Tho,12.243585,109.194648,Phở Hồng,12.24404658920035,109.19239837945437,Soup Spot
Loc Tho,12.243585,109.194648,Quảng Trường 2/4,12.239080297985325,109.19684566431316,Plaza
Loc Tho,12.243585,109.194648,Bãi Biển Nha Trang (Nha Trang Beach),12.237981285752745,109.19757843017578,Beach
Loc Tho,12.243585,109.194648,Кальянная Shisha Place - The Temple!,12.234552103243239,109.19451196271613,Hookah Bar
Loc Tho,12.243585,109.194648,Rainbow Divers,12.23606119934569,109.19548455121273,Sports Bar
Loc Tho,12.243585,109.194648,Bánh Căn 51 Tô Hiến Thành,12.239572765948987,109.19226404072022,Food Court
Loc Tho,12.243585,109.194648,Lunar Pool Lounge,12.247853720808452,109.19611904639612,Lounge
Loc Tho,12.243585,109.194648,Alana Hotel,12.23349199189892,109.19668457443852,Hotel
Loc Tho,12.243585,109.194648,Mát mát juice bar,12.239438,109.195121,Juice Bar
Loc Tho,12.243585,109.194648,An Cafe,12.240179839076696,109.18808996695357,Café
Loc Tho,12.243585,109.194648,Tabalo Hostel,12.236672,109.192955,Hostel
Loc Tho,12.243585,109.194648,Trung Nguyên Coffee,12.240627,109.192196,Café
Loc Tho,12.243585,109.194648,moonmilk shop,12.239324,109.193592,Convenience Store
Loc Tho,12.243585,109.194648,Amigos Whiskey Bar,12.234500731952252,109.19455713261975,Distillery
Loc Tho,12.243585,109.194648,Shisha Place - The Cloud,12.23284330762637,109.1955130966503,Hookah Bar
Loc Tho,12.243585,109.194648,Sandals Restaurant,12.234041151707265,109.19812281732395,Restaurant
Loc Tho,12.243585,109.194648,Su Spa,12.234822207994952,109.19455637486328,Spa
Loc Tho,12.243585,109.194648,ALFA TOURS Офис 3,12.2349301245139,109.1944670677185,Tourist Information and Service
Loc Tho,12.243585,109.194648,Массаж Слепых,12.238007189963831,109.19444741957264,Spa
Loc Tho,12.243585,109.194648,69 Bach Dang,12.240992878815007,109.19078329775323,Asian Restaurant
Loc Tho,12.243585,109.194648,Toastina,12.246193022795456,109.19625513679163,Café
Loc Tho,12.243585,109.194648,Michelia Hotel Beach,12.253145987395097,109.19527593311655,Beach
Loc Tho,12.243585,109.194648,Powerbowl 388,12.247944091588835,109.19608421374699,Bowling Alley
Loc Tho,12.243585,109.194648,Liberty Central Nha Trang,12.235709274974761,109.19576882263867,Hotel
Loc Tho,12.243585,109.194648,Sunrise Nha Trang Beach Hotel & Spa,12.250532521487587,109.19597479556542,Hotel
Loc Tho,12.243585,109.194648,Lang Ngon,12.236135,109.18954,Restaurant
Loc Tho,12.243585,109.194648,Melissa,12.234236,109.19596,Modern European Restaurant
Loc Tho,12.243585,109.194648,Nha Trang Palace Hotel,12.249187684321367,109.19513436196713,Hotel
Loc Tho,12.243585,109.194648,Sailing Club,12.23406843491242,109.19817544713062,Bar
Loc Tho,12.243585,109.194648,ALFA TOURS Офис 7,12.237005506572217,109.18301963848393,Tourist Information and Service
Loc Tho,12.243585,109.194648,Vietsky Hotel,12.237872002800675,109.19075616670936,Hotel
Loc Tho,12.243585,109.194648,ALFA TOURS Офис 1,12.230757001579457,109.19816851615906,Tourist Information and Service
Loc Tho,12.243585,109.194648,Jumanji Coffee & Games,12.233568856583188,109.19483139440263,Coffee Shop
Loc Tho,12.243585,109.194648,Pita,12.234492037462068,109.19584518893237,Greek Restaurant
Loc Tho,12.243585,109.194648,Bún Bò Huế O Thi,12.252433036258308,109.19313345524625,Vietnamese Restaurant
Loc Tho,12.243585,109.194648,Mix Restaurant,12.23492099639106,109.19578209966463,Greek Restaurant
Loc Tho,12.243585,109.194648,Tristar Hotel,12.247582945217152,109.19180935056599,Hotel
Loc Tho,12.243585,109.194648,Karavan,12.233684497641164,109.19569589890848,Café
Loc Tho,12.243585,109.194648,GANESH,12.233882496432646,109.19477016733046,Indian Restaurant
Loc Tho,12.243585,109.194648,Sheraton Beach,12.246302200096189,109.19635788469472,Beach
Loc Tho,12.243585,109.194648,Lovely spa,12.251392126185694,109.18980194527907,Massage Clinic
Loc Tho,12.243585,109.194648,ABC Bakery,12.247817103900418,109.18965677497543,Bakery
Loc Tho,12.243585,109.194648,Nem Nướng Đặng Văn Quyên,12.253645989153847,109.19390495399533,Vietnamese Restaurant
Loc Tho,12.243585,109.194648,Co Tam,12.243550601848467,109.18612044077271,Vegan and Vegetarian Restaurant
Loc Tho,12.243585,109.194648,Restaurant Armenia,12.231831,109.19561,BBQ Joint
Loc Tho,12.243585,109.194648,Starbucks - Nha Trang Center,12.2477,109.196217,Coffee Shop
Loc Tho,12.243585,109.194648,Michelia Hotel,12.25330248421822,109.19542981324905,Hotel
Loc Tho,12.243585,109.194648,BBQ Ủn Ỉn,12.258478380973493,109.19052293206741,BBQ Joint
Loc Tho,12.243585,109.194648,Platinum Cineplex,12.247572189881572,109.1955813692137,Movie Theater
Loc Tho,12.243585,109.194648,Bún Cá Năm Beo,12.254003304907897,109.19302357664228,Vietnamese Restaurant
Loc Tho,12.243585,109.194648,Pizza Hut,12.247375236343862,109.1891062521499,Pizzeria
Loc Tho,12.243585,109.194648,Nem Ngọc Tiên,12.248156504631837,109.18886027474365,Vietnamese Restaurant
Loc Tho,12.243585,109.194648,Lạc Cảnh Restaurant,12.256767950834286,109.19461702111938,Vietnamese Restaurant
Loc Tho,12.243585,109.194648,Làng Chài Hải Sản,12.256902,109.197301,Seafood Restaurant
Loc Tho,12.243585,109.194648,Phương Nam BookStore,12.248324939652239,109.18533072131488,Bookstore
Loc Tho,12.243585,109.194648,Bánh Canh Cô Hà,12.253028323218402,109.19374478852806,Soup Spot
Loc Tho,12.243585,109.194648,Bread Talk,12.249309466048691,109.19599862169004,Bakery
Loc Tho,12.243585,109.194648,Nha Trang View,12.256630212471428,109.19812174859072,Seafood Restaurant
Loc Tho,12.243585,109.194648,Cafe Winner,12.24941727432197,109.19387253954606,Café
Loc Tho,12.243585,109.194648,Pure Vietnam Beauty & Spa,12.254379362856737,109.19521808624268,Spa
Loc Tho,12.243585,109.194648,Đèn Lồng Đỏ,12.25076075814209,109.18864390233246,Vietnamese Restaurant
Loc Tho,12.243585,109.194648,Coffee Museum,12.249363615132493,109.19619367329668,Coffee Shop
Loc Tho,12.243585,109.194648,Khôi Coffee,12.250068157702396,109.19058586572353,Café
Loc Tho,12.243585,109.194648,Highlands Coffee Nha Trang Center,12.24761210261972,109.1955971818126,Café
Loc Tho,12.243585,109.194648,Sunrise Coffee House,12.250461290005758,109.19626255063606,Café
Loc Tho,12.243585,109.194648,Khải Hoàn Môn Coffee,12.25113792088603,109.19146560734394,Bistro
Loc Tho,12.243585,109.194648,KFC,12.247440302050947,109.18918061670642,Fast Food Restaurant
Loc Tho,12.243585,109.194648,Cơm Gà Trâm Anh,12.249703590409183,109.18557559327441,Indian Restaurant
Loc Tho,12.243585,109.194648,Chợ Đầm,12.253346390682443,109.19232791601597,Market
Loc Tho,12.243585,109.194648,Lotte Cinema,12.248166721650701,109.18687655834009,Movie Theater
Loc Tho,12.243585,109.194648,Bavico Hotel,12.256384364016782,109.1946840198477,Hotel
Loc Tho,12.243585,109.194648,Cafe Đối Chứng,12.253492377176425,109.19593302454005,Coffee Shop
Loc Tho,12.243585,109.194648,Hoàng Tuấn,12.247032714258417,109.18908190103045,Coffee Shop
Loc Tho,12.243585,109.194648,Food Court Nha Trang Center,12.24788984474001,109.19625670624207,Food Court
Loc Tho,12.243585,109.194648,Hoang Tuan Coffee,12.2566133107823,109.19728698918163,Coffee Shop
Loc Tho,12.243585,109.194648,Citimart,12.247903634298162,109.19623887557664,Supermarket
Loc Tho,12.243585,109.194648,Nha Trang Center,12.24792272522225,109.19626816814551,Shopping Mall
Loc Tho,12.243585,109.194648,Lotteria Thống Nhất,12.252391880897697,109.1900922860261,Fried Chicken Joint
Loc Tho,12.243585,109.194648,Coopmart,12.242821226216476,109.18224591672013,Shopping Mall
Loc Tho,12.243585,109.194648,Stu cafe,12.240824928915085,109.18582429581423,Café
Loc Tho,12.243585,109.194648,"Highlands Coffee, Muong Thanh, Tran Phu",12.258715,109.19776,Coffee Shop
Loc Tho,12.243585,109.194648,Mường Thanh Luxury Khanh Hoa Hotel,12.258858,109.19756,Hotel
Loc Tho,12.243585,109.194648,Riverview Hotel,12.26089947541497,109.19131752603,Roof Deck
Ngoc Hiep,12.255411,109.173086,LoteMart,12.251761,109.176839,Shopping Mall
Ngoc Hiep,12.255411,109.173086,GOGI House !,12.251468,109.17706,Korean Restaurant
Ngoc Hiep,12.255411,109.173086,I-Resort,12.273082306808119,109.17582793295489,Hot Spring
Ngoc Hiep,12.255411,109.173086,BBQ Ủn Ỉn,12.258478380973493,109.19052293206741,BBQ Joint
Ngoc Hiep,12.255411,109.173086,Lovely spa,12.251392126185694,109.18980194527907,Massage Clinic
Ngoc Hiep,12.255411,109.173086,Thap Ba Hot Springs,12.270352749583775,109.17747970560275,Hot Spring
Ngoc Hiep,12.255411,109.173086,Co Tam,12.243550601848467,109.18612044077271,Vegan and Vegetarian Restaurant
Ngoc Hiep,12.255411,109.173086,ABC Bakery,12.247817103900418,109.18965677497543,Bakery
Ngoc Hiep,12.255411,109.173086,Phương Nam BookStore,12.248324939652239,109.18533072131488,Bookstore
Ngoc Hiep,12.255411,109.173086,Pizza Hut,12.247375236343862,109.1891062521499,Pizzeria
Ngoc Hiep,12.255411,109.173086,BigC,12.256001756258048,109.16994175892508,Big Box Store
Ngoc Hiep,12.255411,109.173086,Nem Ngọc Tiên,12.248156504631837,109.18886027474365,Vietnamese Restaurant
Ngoc Hiep,12.255411,109.173086,Đèn Lồng Đỏ,12.25076075814209,109.18864390233246,Vietnamese Restaurant
Ngoc Hiep,12.255411,109.173086,Cơm Gà Trâm Anh,12.249703590409183,109.18557559327441,Indian Restaurant
Ngoc Hiep,12.255411,109.173086,Lotte Cinema,12.248166721650701,109.18687655834009,Movie Theater
Ngoc Hiep,12.255411,109.173086,Ben Xe Nha Trang,12.251525774646371,109.17728585570438,Bus Line
Ngoc Hiep,12.255411,109.173086,Khôi Coffee,12.250068157702396,109.19058586572353,Café
Ngoc Hiep,12.255411,109.173086,KFC,12.247440302050947,109.18918061670642,Fast Food Restaurant
Ngoc Hiep,12.255411,109.173086,Hoàng Tuấn,12.247032714258417,109.18908190103045,Coffee Shop
Ngoc Hiep,12.255411,109.173086,Coopmart,12.242821226216476,109.18224591672013,Shopping Mall
Ngoc Hiep,12.255411,109.173086,Lotteria Thống Nhất,12.252391880897697,109.1900922860261,Fried Chicken Joint
Ngoc Hiep,12.255411,109.173086,Tram Huong Spa,12.270490673306483,109.17718972336,Spa
Ngoc Hiep,12.255411,109.173086,Водопады,12.272322592747223,109.17515740017078,River
Ngoc Hiep,12.255411,109.173086,Грязи,12.272368442716525,109.17518062666964,Hot Spring
Ngoc Hiep,12.255411,109.173086,Chiếc Lá Resort - Mudbath,12.272337661402432,109.17576128953117,Hot Spring
Phuoc Dong,12.1898573,109.167085,EGG MUD BATH (Tắm Bùn Trăm Trứng),12.186450584816019,109.15954421329988,Spa
Phuoc Dong,12.1898573,109.167085,Snake show Nha Trang,12.203578534554566,109.16137294128491,Attraction
Phuoc Dong,12.1898573,109.167085,Gas Station 22,12.189655350521207,109.17055098339915,Fuel Station
Phuoc Dong,12.1898573,109.167085,100 Egg Restaurant,12.185376046586097,109.16045526757091,Buffet
Phuoc Hai,12.2407682,109.1815852,ALFA TOURS Офис 7,12.237005506572217,109.18301963848393,Tourist Information and Service
Phuoc Hai,12.2407682,109.1815852,Kiwami,12.24015284898065,109.19173138412832,Sushi Restaurant
Phuoc Hai,12.2407682,109.1815852,An Cafe,12.240179839076696,109.18808996695357,Café
Phuoc Hai,12.2407682,109.1815852,Alpaca homestyle cafe,12.241087,109.193258,Italian Restaurant
Phuoc Hai,12.2407682,109.1815852,Cộng coffee,12.2382765,109.19373,Café
Phuoc Hai,12.2407682,109.1815852,Coriander,12.243421344168569,109.19095162531951,Thai Restaurant
Phuoc Hai,12.2407682,109.1815852,Phở Hồng Giang,12.245807,109.193815,Vietnamese Restaurant
Phuoc Hai,12.2407682,109.1815852,vFruit,12.239290359164876,109.19224606741125,Juice Bar
Phuoc Hai,12.2407682,109.1815852,Lang Ngon,12.236135,109.18954,Restaurant
Phuoc Hai,12.2407682,109.1815852,Yashoda Indian restaurant,12.237028456967739,109.19392794370651,Indian Restaurant
Phuoc Hai,12.2407682,109.1815852,Co Tam,12.243550601848467,109.18612044077271,Vegan and Vegetarian Restaurant
Phuoc Hai,12.2407682,109.1815852,Кальянная Shisha Place - The Temple!,12.234552103243239,109.19451196271613,Hookah Bar
Phuoc Hai,12.2407682,109.1815852,InterContinental,12.2449937,109.1960906,Hotel
Phuoc Hai,12.2407682,109.1815852,Bánh Căn 51 Tô Hiến Thành,12.239572765948987,109.19226404072022,Food Court
Phuoc Hai,12.2407682,109.1815852,Tabalo Hostel,12.236672,109.192955,Hostel
Phuoc Hai,12.2407682,109.1815852,Amigos Whiskey Bar,12.234500731952252,109.19455713261975,Distillery
Phuoc Hai,12.2407682,109.1815852,69 Bach Dang,12.240992878815007,109.19078329775323,Asian Restaurant
Phuoc Hai,12.2407682,109.1815852,Sheraton Nha Trang Hotel & Spa,12.246386650789017,109.19567495579031,Hotel
Phuoc Hai,12.2407682,109.1815852,Shisha Place - The Cloud,12.23284330762637,109.1955130966503,Hookah Bar
Phuoc Hai,12.2407682,109.1815852,Rainbow Divers,12.23606119934569,109.19548455121273,Sports Bar
Phuoc Hai,12.2407682,109.1815852,Vietsky Hotel,12.237872002800675,109.19075616670936,Hotel
